EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls,nosi (before),nom (before),wmc (before),noc (before),nopf (before),cbo (before),dit (before),loc (before),rfc (before),nosf (before),lcom (before),nof (before),nopm (before),nosm (before),nopf (after),nom (after),nosi (after),nopm (after),noc (after),rfc (after),nof (after),dit (after),wmc (after),loc (after),cbo (after),nosf (after),lcom (after),nosm (after)
ExcessiveMethodCalls,5,0,22601.039590999997,43258.0,11029.815828000003,8237.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,22849.322301500004,43259.0,11061.455908500002,8336.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,22963.24129300001,43264.0,13220.598319,8338.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,23147.323751500004,43264.0,13285.565498499998,8342.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,23413.678491499984,43277.0,13307.465242500002,8358.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,25119.913607499995,43315.0,13314.154445000004,8387.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,25293.186256999972,43354.0,13359.749175500001,8403.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,26081.80664549998,43363.0,13453.6445675,8436.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,27439.494603499985,43363.0,13482.02868,8440.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
ExcessiveMethodCalls,5,0,27611.3713205,43366.0,13496.043965500001,8443.0,68,25,4.456204379562044,9.094890510948906,20.22992700729927,0.5072992700729927,3.0839416058394162,6.7700729927007295,1.9854014598540146,152.0839416058394,13.722627737226277,4.054744525547445,203.05839416058393,5.740875912408759,7.412408759124087,1.0583941605839415,3.0839416058394162,9.094890510948906,4.456204379562044,7.412408759124087,0.5072992700729927,13.722627737226277,5.740875912408759,1.9854014598540146,20.22992700729927,152.09489051094891,6.766423357664234,4.054744525547445,203.05839416058393,1.0583941605839415
